report_id,timestamp,location,category,reported_severity,description,reporter_type
U001,2026-09-16T09:03,Library Level 2,facilities,MEDIUM,Water is pooling near the study desks on level two.,lecturer
U002,2026-09-16T09:07,Engineering Block E3,fire,HIGH,A burning smell is coming from the E3 electrical lab.,student
U003,2026-09-16T09:11,Campus-wide,it,MEDIUM,Wi-Fi is slow in the north residence.,security
U004,2026-09-16T09:15,Sports Centre Court 1,medical,HIGH,A student collapsed during basketball practice.,lecturer
U005,2026-09-16T09:19,Administration Block Lift A,accessibility,MEDIUM,Lift A is not responding at the ground floor.,system_sensor
U006,2026-09-16T09:23,Science Block loading bay,security,LOW,An unknown person is photographing a locked service entrance.,system_sensor
U007,2026-09-16T09:27,Cafeteria east entrance,environmental,LOW,Broken glass is scattered outside the cafeteria entrance.,lecturer
U008,2026-09-16T09:31,Parking Area P2,electrical,MEDIUM,Several lights are off in parking area P2.,system_sensor
U009,2026-09-16T09:35,Science Block S1,environmental,HIGH,A sharp chemical smell is reported outside laboratory S1.,staff
U010,2026-09-16T09:39,Residence R2,facilities,LOW,No water is coming from taps on the third floor of residence R2.,staff
U011,2026-09-16T09:43,Residence R1 main entrance,security,MEDIUM,Student cards are not unlocking teh R1 main entrance.,student
U012,2026-09-16T09:47,Cafeteria serving line,cleaning,LOW,A large oily spill is on the floor near the serving line.,system_sensor
U013,2026-09-16T09:51,Walkway between B and Library,environmental,MEDIUM,A large branch has fallen beside the library walkway.,lecturer
U014,2026-09-16T09:55,ICT server room,it,MEDIUM,The server-room temperature alarm is active.,student
U015,2026-09-16T09:59,Administration courtyard,security,LOW,A group of students is gathering in the administration courtyard.,system_sensor
U016,2026-09-16T09:48,Library Level 2,facilities,MEDIUM,The leak appears to come from the ceiling near the archives.,lecturer
U017,15/09/26 09:52,Engineering Block E3,fire,HIGH,Light smoke is visible near a wall socket in E3.,student
U018,2026-09-16T09:56,Campus-wide,it,MEDIUM,Students in the library cannot reach the learning platform.,staff
U019,2026-09-16T10:00,Sports Centre Court 1,MEDICAL,HIGH,The student is conscious but confused and breathing quickly.,system_sensor
U020,2026-09-16T10:04,Administration Block Lift A,accessibility,MEDIUM,A wheelchair user is waiting for access to the second floor.,student
U021,2026-09-16T10:08,Science Block loading bay,security,MEDIUM,The person has tools and is trying keys at the loading bay.,system_sensor
U022,2026-09-16T10:12,Cafeteria east entrance,environmental,MEDIUM,A student nearly stepped on glass near teh east door.,system_sensor
U023,2026-09-16T10:16,Parking Area P2,electrical,medium,The payment kiosk and two light poles have lost power.,security
U024,2026-09-16T10:20,Science Block S1,environmental,HIGH,Two students report eye irritation in the corridor.,security
U025,2026-09-16T10:24,Residence R2,facilities,MEDIUM,Students on the second floor also report low pressure.,system_sensor
U026,2026-09-16T10:28,Residence R1 main entrance,security,MEDIUM,Several residents are gathering outside the entrance.,staff
U027,2026-09-16T10:32,Cafeteria serving line,cleaning,MEDIUM,One student slipped but says they are not injured.,security
U028,2026-09-16T10:36,Walkway between B and Library,environmental,MEDIUM,Part of the branch is hanging above the pedestrian path.,lecturer
U029,2026-13-40 09:99,ICT server room,it,MEDIUM,Several internal systems are responding slowly.,lecturer
U030,2026-09-16T10:44,Administration courtyard,security,MEDIUM,The group is chanting and carrying signs.,student
U031,,Library Level 2,facilities,HIGH,Another student reports the same wet floor beside the printers.,system_sensor
U032,2026-09-16T10:37,Engineering Block E3,fire,CRITICAL,A second lecturer confirms smoke and asks students to leave.,student
U033,2026-09-16T10:41,Campus-wide,it,HIGH,A lecturer reports failed logins in Block B.,system_sensor
U034,15/09/26 10:45,Sports Centre Court 1,medical,CRITICAL,A coach confirms first aid is being provided.,staff
U035,2026-09-16T10:49,Administration Block Lift A,accessibility,HIGH,Reception confirms there is no equivalent accessible route.,lecturer
U036,2026-09-16T10:53,Science Block loading bay,security,MEDIUM,A second report describes a reflective vest and contractor vehicle.,security
U037,2026-09-16T10:57,Cafeteria east entrance,environmental,MEDIUM,A second report confirms the same debris field.,security
U038,2026-09-16T11:01,Parking Area P2,ELECTRICAL,HIGH,Security confirms a large dark section near the pedestrian route.,staff
U039,2026-09-16T11:05,Science Blk S1,environmental,CRITICAL,A technician confirms the odour near a storage cabinet.,system_sensor
U040,2026-09-16T11:09,Residence R2,facilities,MEDIUM,Reception confirms the issue affects most of R2.,security
U041,2026-09-16T11:13,Residence R1 main entrance,security,HIGH,Reception confirms the card reader is offline.,lecturer
U042,2026-09-16T11:17,Cafeteria serving line,cleaning,MEDIUM,Staff confirm the spill extends across the queue route.,student
U043,2026-09-16T11:21,Walkway between B and Library,environmental,HIGH,Security confirms pedestrians are walking underneath it.,security
U044,2026-09-16T11:25,ICT server room,it,HIGH,ICT confirms cooling unit one has stopped.,system_sensor
U045,2026-09-16T11:29,Administration courtyard,security,MEDIUM,A staff member confirms entrances remain open.,staff
U046,2026-09-16T11:18,Library Level 2,facilities,high,Water has reached a power extension; the area is becoming unsafe.,system_sensor
U047,2026-09-16T11:22,Engineering Block E3,fire,CRITICAL,Sparks were seen and the local alarm has activated.,staff
U048,2026-09-16T11:26,Campus-wide,it,HIGH,Multiple buildings now show intermittent network loss.,staff
U049,2026-09-16T11:30,Sports Centre Court 1,medical,CRITICAL,The student briefly lost consciousness again.,staff
U050,2026-09-16T11:34,Administration Block Lift A,accessibility,HIGH,The lift stopped between floors with two occupants inside.,lecturer
U051,15/09/26 11:38,Science Block loading bay,security,MEDIUM,The person entered a restricted service corridor.,student
U052,2026-09-16T11:42,Cafeteria east entrance,environmental,MEDIUM,Glass has spread into the accessible entrance path.,security
U053,2026-09-16T11:46,Parking Area P2,electrical,HIGH,A cable cabinet is making a buzzing sound.,security
U054,2026-09-16T11:50,Science Block S1,environmental,CRITICAL,The corridor is being evacuated as a precaution.,security
U055,2026-09-16T11:54,Residence R2,facilities,MEDIUM,The fire-system panel reports low supply pressure.,student
U056,2026-09-16T11:58,Residence R1 main entrance,security,HIGH,The emergency exit alarm begins sounding while access is disrupted.,security
U057,2026-09-16T12:02,Cafeteria serving line,CLEANING,MEDIUM,The accessible route through the cafeteria is blocked.,student
U058,2026-13-40 09:99,Walkway between B and Library,environmental,HIGH,Wind is moving the damaged limb and debris is falling.,staff
U059,2026-09-16T12:10,ICT server room,it,HIGH,Temperature continues to rise toward equipment limits.,lecturer
U060,2026-09-16T12:14,Administration courtyard,security,MEDIUM,The crowd grows and one doorway becomes difficult to use.,lecturer
U061,2026-09-16T12:03,Library Level 2,facilities,HIGH,A witness says it may only be a spilled cleaning bucket.,student
U062,,Engineering Block E3,fire,CRITICAL,One witness says the smoke may be dust from maintenance.,lecturer
U063,2026-09-16T12:11,Campus-wide,it,HIGH,One user says mobile data works and believes the issue is local.,student
U064,2026-09-16T12:15,Sports Centre Court 1,medical,CRITICAL,"A bystander thinks it is only dehydration, but this is unconfirmed.",security
U065,2026-09-16T12:19,Administration Blk Lift A,accessibility,HIGH,"Another caller says the doors are open on level one, which conflicts with the trapped-person report.",lecturer
U066,2026-09-16T12:23,Science Block loading bay,security,MEDIUM,A staff member says maintenance work may have been scheduled today.,security
U067,2026-09-16T12:27,Cafeteria east entrance,environmental,MEDIUM,One caller says the main doorway is still passable.,student
U068,15/09/26 12:31,Parking Area P2,electrical,HIGH,One report says lights briefly returned before failing again.,security
